vqa_v2_20k
"{'forget_acc': {'mean': 0.0, 'std': 0.0}, 'retain_acc': {'mean': 0.38149429361025494, 'std': 0.008850161711408054}, 'mia_neural': {'mean': 0.5785914100097865, 'std': 0.12793077278744058}, 'inv_acc': {'mean': nan, 'std': nan}, 'prop_auc': {'mean': None, 'std': None}, 'attr_acc': {'mean': None, 'std': None}}"
"{'forget_acc': {'mean': 0.9970750013987223, 'std': 0.0023088492732605613}, 'retain_acc': {'mean': 0.08699348817269008, 'std': 0.004382137907288798}, 'mia_neural': {'mean': 0.5201988607022104, 'std': 0.012221175096491793}, 'inv_acc': {'mean': None, 'std': None}, 'prop_auc': {'mean': None, 'std': None}, 'attr_acc': {'mean': None, 'std': None}}"
"{'forget_acc': {'mean': 0.10348865389823914, 'std': 0.09832617814790268}, 'retain_acc': {'mean': 0.37723567088445026, 'std': 0.019897589244477286}, 'mia_neural': {'mean': 0.5463301292998508, 'std': 0.05509150723264666}, 'inv_acc': {'mean': None, 'std': None}, 'prop_auc': {'mean': None, 'std': None}, 'attr_acc': {'mean': None, 'std': None}}"
"{'forget_acc': {'mean': 0.0, 'std': 0.0}, 'retain_acc': {'mean': 0.39917189876238507, 'std': 0.01036631533538858}, 'mia_neural': {'mean': 0.520042284594833, 'std': 0.015017362762014269}, 'inv_acc': {'mean': None, 'std': None}, 'prop_auc': {'mean': None, 'std': None}, 'attr_acc': {'mean': None, 'std': None}}"
"{'forget_acc': {'mean': 0.0, 'std': 0.0}, 'retain_acc': {'mean': 0.08095975468556087, 'std': 0.006402096089742879}, 'mia_neural': {'mean': 0.5071611703871493, 'std': 0.026720395224158176}, 'inv_acc': {'mean': None, 'std': None}, 'prop_auc': {'mean': None, 'std': None}, 'attr_acc': {'mean': None, 'std': None}}"
"{'forget_acc': {'mean': 0.8229494591554006, 'std': 0.28672938643735785}, 'retain_acc': {'mean': 0.15973762919505438, 'std': 0.10395833588593938}, 'mia_neural': {'mean': 0.571457345149444, 'std': 0.04146623128237848}, 'inv_acc': {'mean': None, 'std': None}, 'prop_auc': {'mean': None, 'std': None}, 'attr_acc': {'mean': None, 'std': None}}"
"{'forget_acc': {'mean': 0.36535727977752686, 'std': 0.549942019952845}, 'retain_acc': {'mean': 0.27963414539893466, 'std': 0.1602862650257472}, 'mia_neural': {'mean': 0.45158359389204966, 'std': 0.01625393625580786}, 'inv_acc': {'mean': None, 'std': None}, 'prop_auc': {'mean': None, 'std': None}, 'attr_acc': {'mean': None, 'std': None}}"
